nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Ar Royyan,Masjid,"Jl. Ipik Gandamanah Blok Rawa Mekar 2 No, 30, Tegalmunjul, Purwakarta, Purwakarta Regency, West Java 41114",,"4,4",28,,Tidak Ada ,Tidak Tersedia,-6.5471801,107.4482236,Aksesibilitas Tersedia,[]
Masjid Kasyfur Rahman,Masjid,"FF83+PV9, Jl. Munjul Jaya Permai, RT.2/RW.1, Munjuljaya, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",,"4,6",17,"
0815-7336-1619",Ada,Tersedia,-6.5332001,107.454727,Aksesibilitas Tersedia,[]
MASJID AR-ROUDLOH,Masjid,"CCPW+WX9, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,7",69,,Tidak Ada ,Tidak Tersedia,-6.5627135,107.447485,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Adawatul Islamiyah,Masjid,"FF88+GM7, Jl. Citalang, Citalang, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,9",8,,Tidak Ada ,Tidak Tersedia,-6.5337011,107.4666698,Aksesibilitas Tersedia,[]
Masjid Nurul Huda,Masjid,"FF83+X4R, Jalan Perum Munjuljaya Permai, Munjuljaya, Purwakarta, Purwakarta Regency, West Java 41117",,"4,6",27,,Tidak Ada ,Tidak Tersedia,-6.5325113,107.4527542,Aksesibilitas Tersedia,[]
Masjid Al Falah,Masjid,"CCQR+WGG, Gg. Wortel, Sindangkasih, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.5601764,107.441339,Aksesibilitas Tersedia,[]
Masjid Al-Munawaroh,Masjid,"Blok Beringin Jl. Veteran No.13, RT.48/RW.2, Nagri Kaler, Purwakarta, Purwakarta Regency, West Java 41115",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.5355993,107.445324,Aksesibilitas Tersedia,[]
Masjid Al Hikmah Ciwareng,Masjid,"FCCQ+VRH, Ciwareng, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,"4,3",25,"
0896-6284-0672",Ada,Tidak Tersedia,-6.5278069,107.4396218,Aksesibilitas Tersedia,[]
Masjid Agung Baing Yusuf,Masjid,"CCVR+MCW, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Buka 24 jam,"4,7",1.410,,Tidak Ada ,Tidak Tersedia,-6.5557641,107.4410695,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
"Masjid Nurul Barokah, Markaz Dakwah Tabligh Khuruz Fisabilillah Purwakarta",Masjid,"Jl. Raya Sadang-Subang No.9, Ciwangi, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41118",,"4,2",9,,Tidak Ada ,Tidak Tersedia,-6.5049968,107.4575285,Aksesibilitas Tersedia,[]
Mesjid Jami Salafiyah Gg. Beringin,Masjid,"FC6X+F8W, Nagri Kaler, Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41116",,"5,0",6,,Tidak Ada ,Tidak Tersedia,-6.5387671,107.4483165,Aksesibilitas Tersedia,[]
Masjid An-Nur RW 04 Nagri Kidul,Masjid,"Jl. Garuda No.4, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,9",38,,Tidak Ada ,Tidak Tersedia,-6.5586398,107.4477982,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jamie Al Muhajirin,Masjid,"FCCV+CV4, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"4,9",36,,Tidak Ada ,Tidak Tersedia,-6.528985,107.4447186,Aksesibilitas Tersedia,[]
Masjid Jami Al-Yahya Purwakarta,Masjid,"Jl. Purnawarman Selatan No.13, Sindangkasih, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41112",,"4,7",9,"
0878-7990-4112",Ada,Tidak Tersedia,-6.5669559,107.4448786,Aksesibilitas Tersedia,[]
Masjid Uswatun Hasanah,Masjid,"Jl. Jend. Ahmad Yani Blok Sukarata No.102, RT.18/RW.6, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",,"4,5",4,,Tidak Ada ,Tidak Tersedia,-6.5467401,107.4395597,Aksesibilitas Tersedia,[]
Masjid Jami Al Ihklas,Masjid,"Jl. Pramuka No.1, Bunder, Kec. Jatiluhur, Kabupaten Purwakarta, Jawa Barat 41161",09.00 hingga 20.00,"4,7",47,,Tidak Ada ,Tidak Tersedia,-6.5617209,107.4326879,Aksesibilitas Tersedia,[]
Masjid Besar Campaka Purwakarta,Masjid,"Jl. Raya Campaka No.6, Campaka, Kec. Campaka, Kabupaten Purwakarta, Jawa Barat 41181",,"4,7",65,,Tidak Ada ,Tidak Tersedia,-6.5097112,107.4819515,Aksesibilitas Tersedia,[]
Masjid Al Jihad,Masjid,"CCQQ+9R3, Gg. Kolbis, Sindangkasih, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41112",,"4,6",12,,Tidak Ada ,Tidak Tersedia,-6.5616106,107.4395487,Aksesibilitas Tersedia,[]
Masjid Al-Maghfiroh,Masjid,"FC9W+XPQ, Kebon Kolot, Jl. Veteran, Nagri Kaler, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41115",,"4,7",101,,Tidak Ada ,Tidak Tersedia,-6.5300494,107.4468649,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami An Nur,Masjid,"Jl. Taman Pahlawan No.142, Maracang, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",,"4,7",33,,Tidak Ada ,Tidak Tersedia,-6.527108,107.4349564,Aksesibilitas Tersedia,[]
Masjid Alfalah Sadang,Masjid,"No Jl. Raya Sadang - Subang No.9, Ciseureuh, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"4,6",282,,Tidak Ada ,Tidak Tersedia,-6.5112108,107.4630958,Aksesibilitas Tersedia,[]
Masjid At-Taqwa,Masjid,"Jl. Ipik Gandamanah Blok Krajan No.51, RT.1/RW.3, Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41116",Buka 24 jam,"3,5",10,,Tidak Ada ,Tidak Tersedia,-6.5426785,107.4500177,Aksesibilitas Tersedia,[]
Masjid baing Marzuki,Masjid,"CCVQ+8C9, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",Buka 24 jam,"5,0",1,"
(0264) 355354",Ada,Tidak Tersedia,-6.5567058,107.4385971,Aksesibilitas Tersedia,[]
Masjid Almuawanah Kaum Kaler,Masjid,"CCWR+P2G Komp. Sumur Bandung, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",,"4,7",18,,Tidak Ada ,Tidak Tersedia,-6.5531835,107.4400699,Aksesibilitas Tersedia,[]
Masjid Al Husna,Masjid,"FC5Q+QJ4, Unnamed Road, Purwamekar, Purwakarta, Purwakarta Regency, West Java 41119",Buka 24 jam,"4,7",13,"
0838-1609-8988",Ada,Tidak Tersedia,-6.5406095,107.4390832,Aksesibilitas Tersedia,[]
Makam Syekh Baing Yusuf,Tempat Ziarah,"CCVR+HF9, Jl. Mr. Dr. Kusumahatmaja, Cipaisan, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41113",,"4,8",70,,Tidak Ada ,Tidak Tersedia,-6.5560995,107.4412475,Aksesibilitas Tersedia,[]
Masjid Al Hasanah,Masjid,"Jl. Ipik Gandamanah Blok Rawa Mekar 2 No.28 A, RT.4/RW.1, Tegalmunjul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41116",,"4,4",7,,Tidak Ada ,Tidak Tersedia,-6.546366,107.4493756,Aksesibilitas Tersedia,[]
Masjid Al Bina,Masjid,"FFH2+7RQ, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",,"4,4",5,,Tidak Ada ,Tidak Tersedia,-6.5217877,107.4521172,Aksesibilitas Tersedia,[]
