nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
the Ranch Ciater Subang,Tujuan Wisata,"Ciater, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281",08.00 hingga 21.00,"4,5",2.558,,Tidak Ada ,Tersedia,-6.7589549,107.6469476,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Oleh oleh ceu SUMENOR,Pemakaman,"Situs makam keramat nangka beurit, Dayeuhkolot, Kec. Sagalaherang, Kabupaten Subang, Jawa Barat 41282",Buka 24 jam,"4,3",95,,Tidak Ada ,Tidak Tersedia,-6.6687422,107.6512289,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Gua Maria Tebar Kamulyan Subang,Tempat Ziarah,"Cikalapa Jl. A. Nanta Sukarya No.18, Pasirkareumbi, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",,"4,7",546,"
(0260) 421805",Ada,Tidak Tersedia,-6.5768808,107.7643823,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Kantor Bupati Subang,Kantor Pemerintahan Daerah,"Jl. Dewi Sartika No.2, Soklat, Kec. Subang, Kabupaten Subang, Jawa Barat 41215",07.30 hingga 15.00,"4,2",40,,Ada,Tersedia,-6.571548,107.7623975,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Pura Agung Astha Hannas,Pura,"HQXV+R2, Binong, Kec. Binong, Kabupaten Subang, Jawa Barat",,"5,0",6,,Tidak Ada ,Tidak Tersedia,-6.400378,107.7925946,Aksesibilitas Tersedia,[]
BEROKAN GG PURA,Tempat Parkir,"HJP5+FJJ, Salamjaya, Kec. Pabuaran, Kabupaten Subang, Jawa Barat 41262",,,,,Tidak Ada ,Tidak Tersedia,-6.4138076,107.6097372,Aksesibilitas Tersedia,[]
Pantai Trungtum Tanjung Pura,Tujuan Wisata,"PWXF+5PM, desa ujung, gebang, Kec. Sukra, Kabupaten Indramayu, Jawa Barat 45257",Buka 24 jam,"4,3",235,,Tidak Ada ,Tidak Tersedia,-6.2520294,107.9242979,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Pt. Prabu Pura Motor,,"CPWX+Q96, Jl. Kapten Piere Tandean, Dangdeur, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",,,,,Tidak Ada ,Tidak Tersedia,-6.5530933,107.7483976,Aksesibilitas Tersedia,[]
"Sukadaya, Desa Sukasari",Tujuan Wisata,"Jl. Sukadaya, Sukasari, Kec. Dawuan, Kabupaten Subang, Jawa Barat 41271",Buka 24 jam,"4,7",78,,Tidak Ada ,Tidak Tersedia,-6.5457124,107.7226558,Aksesibilitas Tersedia,[]
Pura mustika dharma,Pura,"FPR8+4QR, Rest Area KM 101, Batusari, Kec. Dawuan, Kabupaten Subang, Jawa Barat 41271",,,,,Tidak Ada ,Tidak Tersedia,-6.5096362,107.7168835,Aksesibilitas Tersedia,[]
rumah tukang dzolim,Pura,"CQQ6+38M, Cigadung, Kec. Subang, Kabupaten Subang, Jawa Barat",,,,,Tidak Ada ,Tidak Tersedia,-6.5623,107.7608,Aksesibilitas Tersedia,[]
Batu Kapur,Tujuan Wisata,"9M59+MF6, Jambelaer, Kec. Dawuan, Kabupaten Subang, Jawa Barat 41271",Buka 24 jam,"4,2",23,,Tidak Ada ,Tidak Tersedia,-6.640835,107.6686268,Aksesibilitas Tersedia,[]
Mitsubishi prabu pura motor jalancagak,Dealer mobil,"8MCQ+H9G, Jl. Raya Cagak-Subang, Jalancagak, Kec. Jalancagak, Kabupaten Subang, Jawa Barat",08.00 hingga 16.30,"5,0",1,,Ada,Tidak Tersedia,-6.6785522,107.6884654,Aksesibilitas Tersedia,[]
Surya,Pura,"MQ6V+7G5, Mariuk, Kec. Tambakdahan, Kabupaten Subang, Jawa Barat 41253",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.3394761,107.7939069,Aksesibilitas Tersedia,[]
DWI PURA,Toko Perlengkapan Rumah,"8MH4+HQ2, Jl. Sagala Herang Subang, RT.16/RW.06, Kp. Citalutug, Kec. Sagalaherang, Kabupaten Subang, Jawa Barat 41282",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.6711244,107.656884,Aksesibilitas Tersedia,[]
PATIMBAN BEACH,Pantai,"Dusun Patimban, Patimban, Pusakanagara, Patimban, Kec. Pusakanagara, Kabupaten Subang, Jawa Barat 41255",,"4,0",1.153,,Tidak Ada ,Tersedia,-6.2435013,107.9030203,Aksesibilitas Tersedia,[]
Bukit Rindu,Tujuan Wisata,"Ciater, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281",09.00 hingga 22.00,"4,6",290,"
0821-2003-5191",Ada,Tidak Tersedia,-6.7371478,107.6497313,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Kamp. Nanjung pura,Komplek perumahan,"FPGJ+WP7, Batusari, Kec. Dawuan, Kabupaten Subang, Jawa Barat 41271",,,,,Tidak Ada ,Tidak Tersedia,-6.5227217,107.731804,Aksesibilitas Tersedia,[]
Kp. Nanjung Pura,Pembangunan Perumahan,"FP47+XFC, Kp. Nanjungpura DS. Batusari, Kec. Dawuan, Kabupaten Subang, Jawa Barat 41271",,,,,Tidak Ada ,Tidak Tersedia,-6.5425736,107.7136353,Aksesibilitas Tersedia,[]
Gapura Selamat Datang (Dari Subang Utara),Bangunan Bersejarah,"Jl. Otto Iskandardinata No.517, Sukamelang, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",Buka 24 jam,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.538117,107.7819742,Aksesibilitas Tersedia,[]
MARKETING MITSUBISHI PT. PRABU PURA SUBANG,Layanan Telemarketing,"Jl. Letnan Ukin No.56, Soklat, Kec. Subang, Kabupaten Subang, Jawa Barat 41215",Buka 24 jam,,,"
0838-2094-2453",Ada,Tidak Tersedia,-6.5685445,107.775373,Aksesibilitas Tersedia,[]
Pura Angkasa Wira Dharma Lanud Suryadarma,Pura,"FMH7+G79, Kalijati Bar., Kec. Kalijati, Kabupaten Subang, Jawa Barat 41271",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.5212034,107.6632442,Aksesibilitas Tersedia,[]
